4,	1,	3,	2,	1,	4,	4,	0,	3,	0,	2,	1,	1,	3,	0,	1,	0,	4,	2,	0,	2,	0,	0,	1,	4,	2,	1,	3,	1,	3	=322
2,	1,	3,	3,	3,	1,	1,	4,	0,	4,	3,	1,	4,	2,	4,	1,	1,	3,	2,	1,	1,	3,	1,	0,	1,	1,	4,	0,	1,	0	=455
4,	1,	5,	4,	4,	1,	4,	2,	1,	0,	6,	2,	3,	3,	1,	3,	3,	4,	3,	2,	0,	4,	4,	3,	4,	4,	3,	0,	0,	0	=570
3,	0,	3,	6,	3,	1,	4,	1,	2,	1,	1,	4,	3,	1,	0,	4,	3,	2,	1,	0,	3,	1,	3,	1,	4,	0,	1,	1,	1,	3	=403
3,	1,	4,	0,	7,	2,	0,	4,	0,	1,	3,	0,	6,	4,	3,	1,	3,	4,	0,	2,	0,	3,	3,	1,	0,	0,	2,	3,	4,	4	=497
2,	2,	0,	0,	2,	10,	1,	2,	0,	3,	2,	3,	2,	10,	1,	0,	0,	3,	4,	2,	0,	2,	2,	0,	1,	3,	2,	1,	3,	4	=538
2,	4,	0,	4,	4,	2,	4,	3,	2,	4,	2,	4,	1,	0,	11,	4,	3,	0,	1,	1,	2,	0,	2,	0,	0,	3,	1,	3,	3,	0	=570
2,	4,	1,	2,	4,	3,	4,	4,	1,	3,	1,	2,	2,	4,	2,	2,	0,	3,	3,	3,	3,	1,	1,	2,	1,	4,	4,	1,	0,	0	=508
3,	1,	1,	1,	3,	3,	1,	2,	3,	3,	1,	1,	2,	2,	2,	2,	3,	2,	4,	3,	2,	2,	0,	4,	4,	2,	3,	4,	1,	0	=487
2,	0,	1,	2,	4,	0,	3,	4,	2,	11,	2,	3,	4,	0,	1,	2,	4,	4,	2,	3,	1,	4,	4,	2,	3,	2,	2,	1,	3,	2	=609
2,	4,	3,	0,	2,	4,	2,	3,	4,	3,	23,	2,	4,	4,	1,	0,	3,	0,	0,	4,	4,	0,	2,	0,	2,	2,	0,	3,	0,	3	=688
2,	4,	1,	0,	2,	2,	3,	0,	2,	3,	4,	1,	3,	4,	2,	1,	2,	2,	4,	4,	2,	2,	3,	0,	1,	0,	0,	0,	2,	1	=527
2,	1,	4,	2,	0,	3,	4,	2,	3,	2,	4,	4,	7,	4,	4,	1,	0,	1,	4,	4,	1,	3,	1,	1,	3,	4,	4,	3,	3,	2	=622
2,	0,	3,	4,	3,	2,	1,	3,	1,	4,	3,	4,	3,	8,	1,	1,	4,	4,	3,	3,	3,	0,	2,	1,	1,	2,	3,	2,	1,	2	=654
4,	4,	2,	4,	3,	4,	2,	3,	1,	3,	4,	3,	1,	3,	9,	4,	3,	2,	1,	4,	4,	3,	2,	4,	3,	0,	2,	4,	2,	3	=670
2,	0,	3,	1,	3,	4,	3,	3,	4,	1,	3,	2,	1,	1,	2,	11,	1,	3,	2,	1,	3,	3,	3,	3,	2,	4,	2,	1,	1,	3	=564
2,	3,	0,	4,	1,	0,	2,	0,	1,	4,	4,	2,	4,	2,	1,	2,	2,	3,	1,	3,	4,	1,	3,	4,	4,	1,	0,	1,	2,	1	=454
3,	0,	3,	3,	0,	1,	1,	0,	1,	2,	4,	2,	1,	4,	2,	0,	4,	3,	0,	1,	0,	2,	4,	1,	1,	4,	2,	0,	0,	0	=375
4,	0,	4,	4,	4,	2,	1,	4,	1,	2,	4,	0,	3,	1,	2,	0,	1,	4,	4,	4,	1,	4,	2,	1,	4,	2,	4,	0,	1,	0	=504
3,	0,	4,	2,	4,	1,	4,	2,	1,	2,	0,	3,	4,	0,	2,	3,	4,	0,	4,	5,	2,	1,	1,	0,	2,	2,	1,	0,	3,	0	=532
4,	1,	0,	0,	1,	2,	1,	0,	1,	1,	1,	2,	2,	4,	0,	2,	4,	3,	4,	3,	6,	2,	2,	0,	1,	3,	1,	4,	0,	1	=456
1,	4,	1,	1,	3,	1,	1,	1,	2,	1,	2,	0,	0,	2,	4,	4,	4,	4,	4,	4,	3,	2,	2,	1,	4,	3,	2,	2,	2,	1	=550
1,	3,	4,	0,	3,	2,	1,	0,	3,	0,	0,	2,	3,	3,	4,	3,	3,	1,	2,	2,	4,	3,	6,	1,	3,	2,	1,	1,	4,	1	=440
4,	1,	2,	4,	0,	4,	1,	3,	3,	0,	4,	2,	1,	2,	3,	0,	4,	1,	0,	3,	1,	1,	4,	6,	4,	0,	0,	2,	4,	1	=410
2,	4,	2,	0,	0,	1,	3,	3,	4,	2,	4,	1,	1,	4,	3,	1,	0,	2,	4,	3,	0,	2,	0,	4,	5,	1,	0,	1,	4,	3	=481
3,	1,	0,	1,	2,	1,	1,	1,	3,	3,	4,	3,	0,	2,	1,	4,	0,	0,	0,	3,	3,	0,	4,	2,	3,	4,	1,	0,	2,	4	=344
4,	2,	3,	2,	3,	0,	3,	3,	0,	3,	4,	2,	2,	2,	4,	0,	2,	0,	2,	1,	2,	3,	3,	2,	0,	4,	7,	4,	2,	3	=389
4,	1,	1,	3,	3,	4,	2,	1,	0,	0,	4,	4,	3,	2,	1,	0,	0,	3,	0,	2,	2,	4,	1,	3,	2,	4,	1,	4,	1,	0	=350
