4,	2,	4,	3,	2,	1,	1,	2,	1,	4,	3,	1,	3,	0,	1,	4,	4,	3,	2,	1	=463
1,	1,	4,	1,	0,	1,	2,	4,	3,	1,	0,	2,	0,	0,	2,	4,	3,	3,	1,	2	=390
1,	2,	5,	4,	4,	3,	2,	4,	0,	2,	4,	4,	4,	3,	0,	2,	1,	4,	4,	2	=563
1,	2,	0,	6,	0,	4,	1,	0,	3,	4,	3,	0,	0,	3,	4,	2,	0,	2,	1,	1	=369
1,	4,	4,	2,	7,	0,	1,	3,	3,	1,	1,	1,	4,	3,	2,	3,	3,	0,	3,	1	=455
3,	1,	1,	0,	3,	10,	2,	1,	1,	3,	3,	0,	1,	1,	2,	3,	3,	4,	0,	0	=405
4,	3,	0,	0,	1,	3,	4,	4,	2,	1,	4,	4,	3,	2,	1,	1,	2,	2,	2,	2	=459
0,	4,	4,	0,	4,	4,	2,	4,	3,	2,	1,	4,	3,	1,	1,	1,	3,	3,	4,	4	=561
2,	4,	3,	1,	1,	3,	0,	2,	2,	0,	4,	4,	1,	3,	2,	3,	2,	3,	1,	0	=412
2,	1,	4,	2,	3,	4,	3,	1,	0,	8,	2,	1,	4,	4,	3,	2,	2,	3,	2,	4	=597
0,	3,	3,	4,	3,	4,	2,	3,	2,	0,	6,	4,	0,	3,	1,	1,	2,	3,	4,	2	=517
4,	1,	2,	1,	3,	2,	0,	4,	2,	2,	0,	3,	1,	3,	0,	2,	0,	1,	2,	4	=372
3,	2,	4,	1,	4,	2,	3,	4,	1,	4,	1,	1,	10,	2,	0,	3,	0,	2,	1,	4	=521
2,	2,	3,	3,	4,	2,	1,	0,	0,	1,	2,	4,	0,	11,	1,	2,	2,	0,	4,	1	=477
2,	3,	4,	2,	0,	4,	2,	3,	1,	3,	2,	0,	3,	0,	4,	4,	4,	2,	2,	4	=536
1,	3,	0,	2,	1,	4,	2,	1,	4,	2,	4,	3,	3,	2,	4,	2,	2,	3,	3,	2	=546
0,	2,	3,	3,	4,	4,	2,	4,	3,	0,	3,	1,	0,	1,	1,	2,	1,	2,	0,	3	=361
3,	3,	1,	4,	0,	3,	1,	1,	0,	1,	2,	4,	1,	4,	3,	4,	4,	9,	0,	0	=549
0,	3,	2,	0,	1,	2,	2,	4,	3,	1,	1,	4,	4,	4,	3,	3,	0,	3,	4,	0	=502
2,	0,	1,	3,	4,	4,	0,	1,	2,	0,	4,	3,	3,	1,	0,	1,	2,	4,	2,	10	=580
